Word,POS,Frequency
principium,NOUN,348
pono,VERB,341
pax,NOUN,337
similitudo,NOUN,335
doceo,VERB,332
domus,NOUN,330
desiderium,NOUN,324
jesus,VERB,323
fidelis,ADJ,322
scribo,VERB,320
cor,NOUN,319
sol,NOUN,312
caelestis,ADJ,312
magister,NOUN,310
attendo,VERB,300
mens,NOUN,299
medius,ADJ,299
liber,ADJ,299
iesus,NOUN,297
uirgo,NOUN,295
bonum,ADJ,294
uis,NOUN,285
duco,VERB,285
nascor,VERB,284
capio,VERB,282
doctrina,NOUN,279
signum,NOUN,277
mulier,NOUN,277
saluator,NOUN,276
gaudium,NOUN,276
spiritualis,ADJ,274
ignis,NOUN,274
pars,NOUN,273
actus,NOUN,271
scientia,NOUN,271
perfectus,ADJ,268
mater,NOUN,266
maneo,VERB,265
iustus,ADJ,265
propheta,NOUN,265
infinitus,ADJ,265
inuenio,VERB,258
sermo,NOUN,256
intro,ADV,252
essentia,NOUN,251
conuerto,VERB,250
cibus,NOUN,246
salus,NOUN,241
fructus,NOUN,241
species,NOUN,240
potestas,NOUN,237
testimonium,NOUN,233
ago,VERB,231
misericordia,NOUN,228
ordo,NOUN,226
peto,VERB,226
christianus,ADJ,225
mereo,VERB,224
attingo,VERB,224
sacramentum,NOUN,224
petrus,NOUN,221
peccator,NOUN,219
illumino,ADJ,219
sensus,NOUN,218
creator,NOUN,217
similis,ADJ,217
bonum,NOUN,216
assequor,VERB,216
discipulus,NOUN,215
sanguis,NOUN,210
pasco,VERB,209
humanitas,NOUN,208
proprius,ADJ,208
unitas,NOUN,207
accipio,VERB,207
uox,NOUN,206
pulchritudo,NOUN,204
beatus,ADJ,203
cognitio,NOUN,203
dilectio,NOUN,202
tenebra,NOUN,202
perfectio,NOUN,200
donum,NOUN,200
membrum,NOUN,198
necessarius,ADJ,197
spes,NOUN,197
ada,NOUN,195
oratio,NOUN,193
eligo,VERB,192
iudico,VERB,188
uisio,NOUN,188
uiuifico,VERB,188
nomino,NOUN,188
immortalis,ADJ,187
lego,VERB,186
manus,NOUN,186
accedo,VERB,186
oro,VERB,185
pastor,NOUN,185
teneo,VERB,182
modus,NOUN,181
princeps,NOUN,179
iohannes,ADJ,179
desidero,VERB,179
gradus,NOUN,179
ambulo,VERB,177
operor,VERB,176
ascendo,VERB,175
ultimus,ADJ,174
humilitas,NOUN,174
uoco,ADV,173
frater,NOUN,171
uir,NOUN,171
proximus,ADJ,169
aperio,NOUN,168
induo,NOUN,167
substantia,NOUN,167
manifesto,ADJ,166
felicitas,NOUN,166
patior,VERB,166
descendo,VERB,165
uisibilis,ADJ,165
orior,ADJ,164
caput,NOUN,164
uiuus,ADJ,163
saeculum,NOUN,163
oboedientia,NOUN,162
plenitudo,NOUN,161
memoria,NOUN,161
seruio,NOUN,159
lapis,NOUN,159
temporalis,ADJ,158
respondeo,VERB,158
naturalis,ADJ,156
fons,NOUN,156
sanctifico,VERB,156
dimitto,VERB,155
sentio,VERB,154
summus,ADJ,154
ciuitas,NOUN,154
respicio,VERB,154
appareo,VERB,153
efficio,NOUN,153
crux,NOUN,153
diabolus,NOUN,153
textus,NOUN,153
participo,VERB,151
sto,VERB,150
ignoro,VERB,150
desero,VERB,149
oboedio,NOUN,149
cado,VERB,149
populus,NOUN,147
conuenio,VERB,147
libero,ADJ,146
puer,NOUN,145
corporalis,ADJ,144
exemplum,NOUN,144
figura,NOUN,144
plenus,ADJ,143
pes,NOUN,143
aeternitas,NOUN,143
interior,ADJ,142
maximus,ADJ,142
peruenio,ADV,142
noto,VERB,142
operatio,NOUN,141
laetitia,NOUN,141
animal,NOUN,141
concipio,VERB,139
tenebrae,NOUN,138
instruo,ADJ,138
templum,NOUN,137
nequeo,VERB,136
uoco,VERB,136
capax,ADJ,136
altus,ADJ,136
rego,VERB,136
genero,ADJ,136
judaeus,ADJ,136
aduerto,VERB,134
experior,ADJ,133
stella,NOUN,133
uinum,NOUN,132
passio,NOUN,132
mortalis,ADJ,131
mortuus,VERB,131
iudicium,NOUN,131
concupiscentia,NOUN,130
immortalitas,NOUN,130
offero,VERB,130
rogo,VERB,130
potentia,NOUN,129
trinitas,NOUN,129
uniuersus,ADJ,128
augustinus,NOUN,127
bonitas,NOUN,127
notitia,NOUN,127
resurrectio,NOUN,126
appeto,VERB,126
pateo,NOUN,126
nouus,ADJ,125
